 ====================================================================================
               Transient state solution for a 2D rectangular plate
                    for applications in steel reheating
                 e.g. Reheating furnaces for rolling processing
 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 October 26th, 2017
 ====================================================================================
                              Input parameters:

 Lenght in X direction (meters):           1.0000
 Lenght in Y direction (meters):           0.2000
 Nodes in X direction:                        121
 Nodes in Y direction:                        121
 ====================================================================================

                       STAGE                1/  5
                       START Time:         0.0000
                       END Time:        1140.0000
                       Iterations:             2366

 ====================================================================================
 Temperature of fluid at left face (T left):             1223.1500
 Temperature of fluid at right face (T right):           1223.1500
 Temperature of fluid at bottom face (T bottom):         1223.1500
 Temperature of fluid at top face (T top):               1223.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 ====================================================================================

                       STAGE                2/  5
                       START Time:      1140.0000
                       END Time:        3060.0000
                       Iterations:             2366

 ====================================================================================
 Temperature of fluid at left face (T left):             1423.1500
 Temperature of fluid at right face (T right):           1423.1500
 Temperature of fluid at bottom face (T bottom):         1423.1500
 Temperature of fluid at top face (T top):               1423.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 SOLUTION of LINEAR SYSTEM: TDMA (tri-diagonal matrix algorithm)
      ADI approach employed in solution.
 Tolerance:       0.0010

 ====================================================================================
                    Calculation Results
 Current time:    1540.0000000000000       seconds
 Maximum Temperature :    1191.4855403481488
 Minimum Temperature :    716.83325442450939
 Average(algebraic, non-weigthed) Temperature :    832.42351285015900
 ====================================================================================
            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)
 ====================================================================================
            1           1      0.0000      0.0000   1130.5157    826.5418     39.0025
            1           2      0.0000      0.0017   1125.6956    837.8786     38.9259
            1           3      0.0000      0.0033   1120.9760    849.3773     38.8543
            1           4      0.0000      0.0050   1116.3598    861.0021     38.7876
            1           5      0.0000      0.0067   1111.8494    872.7176     38.7254
            1           6      0.0000      0.0083   1107.4474    884.4892     38.6677
            1           7      0.0000      0.0100   1103.1559    896.2832     38.6143
            1           8      0.0000      0.0117   1098.9768    908.0675     38.5649
            1           9      0.0000      0.0133   1094.9115    919.8112     38.5193
            1          10      0.0000      0.0150   1090.9614    931.4850     38.4775
            1          11      0.0000      0.0167   1087.1274    943.0615     38.4391
            1          12      0.0000      0.0183   1083.4101    954.5147     38.4040
            1          13      0.0000      0.0200   1079.8096    965.8210     38.3719
            1          14      0.0000      0.0217   1076.3261    976.9585     38.3428
            1          15      0.0000      0.0233   1072.9591    987.9074     38.3163
            1          16      0.0000      0.0250   1069.7081    998.6492     38.2924
            1          17      0.0000      0.0267   1066.5726   1009.1670     38.2708
            1          18      0.0000      0.0283   1063.5519   1019.4445     38.2513
            1          19      0.0000      0.0300   1060.6457   1029.4660     38.2339
            1          20      0.0000      0.0317   1057.8539   1039.2155     38.2184
            1          21      0.0000      0.0333   1055.1752   1048.6823     38.2045
            1          22      0.0000      0.0350   1052.6073   1057.8599     38.1923
            1          23      0.0000      0.0367   1050.1477   1066.7441     38.1815
            1          24      0.0000      0.0383   1047.7934   1075.3330     38.1719
            1          25      0.0000      0.0400   1045.5414   1083.6262     38.1636
            1          26      0.0000      0.0417   1043.3888   1091.6242     38.1563
            1          27      0.0000      0.0433   1041.3324   1099.3286     38.1500
            1          28      0.0000      0.0450   1039.3692   1106.7420     38.1445
            1          29      0.0000      0.0467   1037.4961   1113.8679     38.1399
            1          30      0.0000      0.0483   1035.7099   1120.7110     38.1359
            1          31      0.0000      0.0500   1034.0072   1127.2774     38.1325
            1          32      0.0000      0.0517   1032.3842   1251.7300     38.1297
            1          33      0.0000      0.0533   1030.8623   1243.1239     38.1274
            1          34      0.0000      0.0550   1029.4352   1235.1401     38.1256
            1          35      0.0000      0.0567   1028.0981   1227.7347     38.1242
            1          36      0.0000      0.0583   1026.8471   1220.8710     38.1231
            1          37      0.0000      0.0600   1025.6789   1214.5177     38.1222
            1          38      0.0000      0.0617   1024.5906   1208.6482     38.1216
            1          39      0.0000      0.0633   1023.5800   1203.2394     38.1212
            1          40      0.0000      0.0650   1022.6450   1198.2709     38.1210
            1          41      0.0000      0.0667   1021.7838   1193.7249     38.1209
            1          42      0.0000      0.0683   1020.9949   1189.5859     38.1209
            1          43      0.0000      0.0700   1020.2769   1185.8398     38.1210
            1          44      0.0000      0.0717   1019.6286   1182.4744     38.1211
            1          45      0.0000      0.0733   1019.0489   1179.4788     38.1213
            1          46      0.0000      0.0750   1018.5368   1176.8433     38.1215
            1          47      0.0000      0.0767   1018.0914   1174.5596     38.1217
            1          48      0.0000      0.0783   1017.7121   1172.6203     38.1219
            1          49      0.0000      0.0800   1017.3980   1171.0189     38.1220
            1          50      0.0000      0.0817   1017.1487   1169.7501     38.1222
            1          51      0.0000      0.0833   1016.9635   1168.8093     38.1223
            1          52      0.0000      0.0850   1016.8420   1168.1928     38.1224
            1          53      0.0000      0.0867   1016.7838   1167.8977     38.1224
            1          54      0.0000      0.0883   1016.7886   1167.9221     38.1224
            1          55      0.0000      0.0900   1016.8561   1168.2646     38.1224
            1          56      0.0000      0.0917   1016.9862   1168.9246     38.1223
            1          57      0.0000      0.0933   1017.1787   1169.9025     38.1222
            1          58      0.0000      0.0950   1017.4335   1171.1993     38.1220
            1          59      0.0000      0.0967   1017.7506   1172.8169     38.1218
            1          60      0.0000      0.0983   1018.1301   1174.7577     38.1217
            1          61      0.0000      0.1000   1018.5722   1177.0254     38.1215
            1          62      0.0000      0.1017   1019.0771   1179.6243     38.1213
            1          63      0.0000      0.1033   1019.6450   1182.5596     38.1211
            1          64      0.0000      0.1050   1020.2765   1185.8376     38.1210
            1          65      0.0000      0.1067   1020.9719   1189.4655     38.1209
            1          66      0.0000      0.1083   1021.7319   1193.4519     38.1209
            1          67      0.0000      0.1100   1022.5573   1197.8065     38.1210
