 ====================================================================================
               Transient state solution for a 2D rectangular plate
                    for applications in steel reheating
                 e.g. Reheating furnaces for rolling processing
 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 October 26th, 2017
 ====================================================================================
                              Input parameters:

 Lenght in X direction (meters):           1.0000
 Lenght in Y direction (meters):           0.2000
 Nodes in X direction:                        121
 Nodes in Y direction:                        121
 ====================================================================================

                       STAGE                1/  5
                       START Time:         0.0000
                       END Time:        1140.0000
                       Iterations:             3977

 ====================================================================================
 Temperature of fluid at left face (T left):             1223.1500
 Temperature of fluid at right face (T right):           1223.1500
 Temperature of fluid at bottom face (T bottom):         1223.1500
 Temperature of fluid at top face (T top):               1223.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 ====================================================================================

                       STAGE                2/  5
                       START Time:      1140.0000
                       END Time:        3060.0000
                       Iterations:             3977

 ====================================================================================
 Temperature of fluid at left face (T left):             1423.1500
 Temperature of fluid at right face (T right):           1423.1500
 Temperature of fluid at bottom face (T bottom):         1423.1500
 Temperature of fluid at top face (T top):               1423.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 ====================================================================================

                       STAGE                3/  5
                       START Time:      3060.0000
                       END Time:        4980.0000
                       Iterations:             3977

 ====================================================================================
 Temperature of fluid at left face (T left):             1513.1500
 Temperature of fluid at right face (T right):           1513.1500
 Temperature of fluid at bottom face (T bottom):         1513.1500
 Temperature of fluid at top face (T top):               1513.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 SOLUTION of LINEAR SYSTEM: TDMA (tri-diagonal matrix algorithm)
      ADI approach employed in solution.
 Tolerance:       0.0010

 ====================================================================================
                    Calculation Results
 Current time:    3460.0000000000000       seconds
 Maximum Temperature :    1444.1865476175417
 Minimum Temperature :    1110.7906327859525
 Average(algebraic, non-weigthed) Temperature :    1232.6637536317110
 ====================================================================================
            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)
 ====================================================================================
            1           1      0.0000      0.0000   1433.0084    703.0000     50.6073
            1           2      0.0000      0.0017   1431.4280    703.0000     50.5144
            1           3      0.0000      0.0033   1429.8698    703.0000     50.4230
            1           4      0.0000      0.0050   1428.3345    703.0000     50.3332
            1           5      0.0000      0.0067   1426.8223    703.0000     50.2451
            1           6      0.0000      0.0083   1425.3339    703.0000     50.1587
            1           7      0.0000      0.0100   1423.8696    703.0000     50.0739
            1           8      0.0000      0.0117   1422.4299    703.0000     49.9907
            1           9      0.0000      0.0133   1421.0152    703.0000     49.9093
            1          10      0.0000      0.0150   1419.6258    703.0000     49.8296
            1          11      0.0000      0.0167   1418.2620    703.0000     49.7516
            1          12      0.0000      0.0183   1416.9243    703.0000     49.6752
            1          13      0.0000      0.0200   1415.6130    703.0000     49.6006
            1          14      0.0000      0.0217   1414.3282    703.0000     49.5278
            1          15      0.0000      0.0233   1413.0704    703.0000     49.4566
            1          16      0.0000      0.0250   1411.8397    703.0000     49.3872
            1          17      0.0000      0.0267   1410.6365    703.0000     49.3195
            1          18      0.0000      0.0283   1409.4608    703.0000     49.2535
            1          19      0.0000      0.0300   1408.3131    703.0000     49.1893
            1          20      0.0000      0.0317   1407.1934    703.0000     49.1268
            1          21      0.0000      0.0333   1406.1020    703.0000     49.0660
            1          22      0.0000      0.0350   1405.0389    703.0000     49.0069
            1          23      0.0000      0.0367   1404.0045    703.0000     48.9496
            1          24      0.0000      0.0383   1402.9989    703.0000     48.8940
            1          25      0.0000      0.0400   1402.0221    703.0000     48.8401
            1          26      0.0000      0.0417   1401.0744    703.0000     48.7879
            1          27      0.0000      0.0433   1400.1559    703.0000     48.7375
            1          28      0.0000      0.0450   1399.2666    703.0000     48.6888
            1          29      0.0000      0.0467   1398.4068    703.0000     48.6417
            1          30      0.0000      0.0483   1397.5764    703.0000     48.5964
            1          31      0.0000      0.0500   1396.7756    703.0000     48.5527
            1          32      0.0000      0.0517   1396.0045    703.0000     48.5108
            1          33      0.0000      0.0533   1395.2632    703.0000     48.4706
            1          34      0.0000      0.0550   1394.5517    703.0000     48.4320
            1          35      0.0000      0.0567   1393.8701    703.0000     48.3951
            1          36      0.0000      0.0583   1393.2185    703.0000     48.3599
            1          37      0.0000      0.0600   1392.5968    703.0000     48.3264
            1          38      0.0000      0.0617   1392.0053    703.0000     48.2945
            1          39      0.0000      0.0633   1391.4438    703.0000     48.2643
            1          40      0.0000      0.0650   1390.9125    703.0000     48.2358
            1          41      0.0000      0.0667   1390.4114    703.0000     48.2089
            1          42      0.0000      0.0683   1389.9405    703.0000     48.1836
            1          43      0.0000      0.0700   1389.4999    703.0000     48.1600
