 ========================================================================
 Mesh information:
 Nx =                  121     -    Ny =                   121
  
 Slab dimensions:
 X(m) =    1.0000000000000000          -    Y(m) =   0.20000000000000001     
                                                                         
                                                                         
 ========================================================================
 Npos =  1
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
       0.0000      0.0000      0.0000    300.0000    478.5730     62.2137
     200.0000      0.0000      0.0000    514.2847    536.0154     52.8979
     400.0000      0.0000      0.0000    626.3675    601.7913     47.8254
     600.0000      0.0000      0.0000    714.8091    635.2351     44.2663
     800.0000      0.0000      0.0000    789.1483    666.3484     41.7721
    1000.0000      0.0000      0.0000    852.1337    716.8973     40.1088
    1140.0000      0.0000      0.0000    890.6291    770.0138     39.3230
    1340.0000      0.0000      0.0000   1051.2619   1062.7082     38.1862
    1540.0000      0.0000      0.0000   1130.5157    826.5418     39.0025
    1740.0000      0.0000      0.0000   1184.9753    728.2868     40.1113
    1940.0000      0.0000      0.0000   1225.7303    703.0000     41.2327
    2140.0000      0.0000      0.0000   1257.5394    703.0000     42.2792
    2340.0000      0.0000      0.0000   1282.9751    703.0000     43.2226
    2540.0000      0.0000      0.0000   1303.8009    703.0000     44.0642
    2740.0000      0.0000      0.0000   1321.1636    703.0000     44.8128
    2940.0000      0.0000      0.0000   1335.7922    703.0000     45.4762
    3060.0000      0.0000      0.0000   1343.6917    703.0000     45.8467
    3260.0000      0.0000      0.0000   1409.1385    703.0000     49.2355
    3460.0000      0.0000      0.0000   1433.0084    703.0000     50.6073
    3660.0000      0.0000      0.0000   1448.3484    703.0000     51.5253
    3860.0000      0.0000      0.0000   1459.7796    703.0000     52.2273
    4060.0000      0.0000      0.0000   1468.8196    703.0000     52.7930
    4260.0000      0.0000      0.0000   1476.1465    703.0000     53.2582
    4460.0000      0.0000      0.0000   1482.1792    703.0000     53.6457
    4660.0000      0.0000      0.0000   1487.1741    703.0000     53.9696
    4860.0000      0.0000      0.0000   1491.3366    703.0000     54.2415
    4980.0000      0.0000      0.0000   1493.5628    703.0000     54.3877
    5180.0000      0.0000      0.0000   1491.0297    703.0000     54.2214
    5380.0000      0.0000      0.0000   1492.2533    703.0000     54.3016
    5580.0000      0.0000      0.0000   1493.8248    703.0000     54.4049
    5780.0000      0.0000      0.0000   1495.3422    703.0000     54.5049
    5980.0000      0.0000      0.0000   1496.7067    703.0000     54.5951
    6180.0000      0.0000      0.0000   1497.8936    703.0000     54.6736
    6380.0000      0.0000      0.0000   1498.9143    703.0000     54.7413
    6580.0000      0.0000      0.0000   1499.7884    703.0000     54.7993
    6780.0000      0.0000      0.0000   1500.5276    703.0000     54.8485
    6980.0000      0.0000      0.0000   1501.1535    703.0000     54.8901
