 ========================================================================
 Mesh information:
 Nx =                   15     -    Ny =                    15
  
 Slab dimensions:
 X(m) =    1.0000000000000000          -    Y(m) =   0.20000000000000001     
                                                                         
                                                                         
 ========================================================================
 Npos =  1
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
       0.0000      0.0000      0.0000    300.0000    478.5730     62.2137
     200.0000      0.0000      0.0000    493.8185    521.8279     53.8514
     400.0000      0.0000      0.0000    609.5905    593.8088     48.5554
     600.0000      0.0000      0.0000    701.0788    630.5418     44.7814
     800.0000      0.0000      0.0000    777.7965    660.3550     42.1181
    1000.0000      0.0000      0.0000    842.4720    706.6826     40.3344
    1140.0000      0.0000      0.0000    881.9042    756.0226     39.4849
    1340.0000      0.0000      0.0000   1020.7155   1188.1256     38.1209
    1540.0000      0.0000      0.0000   1109.5648    878.7855     38.6951
    1740.0000      0.0000      0.0000   1174.9981    742.0519     39.8748
    1940.0000      0.0000      0.0000   1222.8199    703.0000     41.1444
    2140.0000      0.0000      0.0000   1257.5880    703.0000     42.2809
    2340.0000      0.0000      0.0000   1283.8156    703.0000     43.2553
    2540.0000      0.0000      0.0000   1304.7528    703.0000     44.1042
    2740.0000      0.0000      0.0000   1322.1053    703.0000     44.8547
    2940.0000      0.0000      0.0000   1336.7506    703.0000     45.5207
    3060.0000      0.0000      0.0000   1344.6700    703.0000     45.8931
    3260.0000      0.0000      0.0000   1405.4506    703.0000     49.0298
    3460.0000      0.0000      0.0000   1432.0758    703.0000     50.5524
    3660.0000      0.0000      0.0000   1448.5799    703.0000     51.5394
    3860.0000      0.0000      0.0000   1460.4190    703.0000     52.2670
    4060.0000      0.0000      0.0000   1469.5602    703.0000     52.8397
    4260.0000      0.0000      0.0000   1476.8902    703.0000     53.3058
    4460.0000      0.0000      0.0000   1482.8841    703.0000     53.6913
    4660.0000      0.0000      0.0000   1487.8370    703.0000     54.0128
    4860.0000      0.0000      0.0000   1491.9536    703.0000     54.2820
    4980.0000      0.0000      0.0000   1494.1594    703.0000     54.4270
    5180.0000      0.0000      0.0000   1492.0219    703.0000     54.2865
    5380.0000      0.0000      0.0000   1492.9435    703.0000     54.3470
    5580.0000      0.0000      0.0000   1494.3823    703.0000     54.4416
    5780.0000      0.0000      0.0000   1495.8367    703.0000     54.5376
    5980.0000      0.0000      0.0000   1497.1654    703.0000     54.6254
    6180.0000      0.0000      0.0000   1498.3325    703.0000     54.7027
    6380.0000      0.0000      0.0000   1499.3390    703.0000     54.7695
    6580.0000      0.0000      0.0000   1500.1984    703.0000     54.8266
    6780.0000      0.0000      0.0000   1500.9281    703.0000     54.8751
    6980.0000      0.0000      0.0000   1501.5456    703.0000     54.9162
    7180.0000      0.0000      0.0000   1502.0670    703.0000     54.9510
    7380.0000      0.0000      0.0000   1502.5067    703.0000     54.9803
    7580.0000      0.0000      0.0000   1502.8770    703.0000     55.0050
    7780.0000      0.0000      0.0000   1503.1887    703.0000     55.0258
    7980.0000      0.0000      0.0000   1503.4510    703.0000     55.0434
    8180.0000      0.0000      0.0000   1503.6716    703.0000     55.0581
    8380.0000      0.0000      0.0000   1503.8571    703.0000     55.0705
    8400.0000      0.0000      0.0000   1503.8753    703.0000     55.0717
    8600.0000      0.0000      0.0000   1451.2874    703.0000     51.7043
    8800.0000      0.0000      0.0000   1432.6850    703.0000     50.5883
    9000.0000      0.0000      0.0000   1423.0451    703.0000     50.0262
    9200.0000      0.0000      0.0000   1417.0434    703.0000     49.6820
    9400.0000      0.0000      0.0000   1412.8819    703.0000     49.4460
    9600.0000      0.0000      0.0000   1409.8047    703.0000     49.2728
    9800.0000      0.0000      0.0000   1407.4396    703.0000     49.1405
   10000.0000      0.0000      0.0000   1405.5775    703.0000     49.0368
   10200.0000      0.0000      0.0000   1404.0878    703.0000     48.9542
   10400.0000      0.0000      0.0000   1402.8825    703.0000     48.8876
   10600.0000      0.0000      0.0000   1401.8989    703.0000     48.8333
   10800.0000      0.0000      0.0000   1401.0910    703.0000     48.7889
   11000.0000      0.0000      0.0000   1400.4240    703.0000     48.7522
   11200.0000      0.0000      0.0000   1399.8706    703.0000     48.7218
   11400.0000      0.0000      0.0000   1399.4100    703.0000     48.6966
   11600.0000      0.0000      0.0000   1399.0252    703.0000     48.6755
   11800.0000      0.0000      0.0000   1398.7029    703.0000     48.6579
   12000.0000      0.0000      0.0000   1398.4325    703.0000     48.6431
   12200.0000      0.0000      0.0000   1398.2049    703.0000     48.6307
   12400.0000      0.0000      0.0000   1398.0130    703.0000     48.6202
   12600.0000      0.0000      0.0000   1397.8509    703.0000     48.6114
   12800.0000      0.0000      0.0000   1397.7137    703.0000     48.6039
   13000.0000      0.0000      0.0000   1397.5975    703.0000     48.5975
   13200.0000      0.0000      0.0000   1397.4990    703.0000     48.5922
   13400.0000      0.0000      0.0000   1397.4154    703.0000     48.5876
   13600.0000      0.0000      0.0000   1397.3442    703.0000     48.5837
   13800.0000      0.0000      0.0000   1397.2837    703.0000     48.5804
   14000.0000      0.0000      0.0000   1397.2322    703.0000     48.5776
   14200.0000      0.0000      0.0000   1397.1884    703.0000     48.5752
   14400.0000      0.0000      0.0000   1397.1510    703.0000     48.5732
   14600.0000      0.0000      0.0000   1397.1191    703.0000     48.5715
   14800.0000      0.0000      0.0000   1397.0918    703.0000     48.5700
   15000.0000      0.0000      0.0000   1397.0685    703.0000     48.5687
   15200.0000      0.0000      0.0000   1397.0486    703.0000     48.5676
   15400.0000      0.0000      0.0000   1397.0315    703.0000     48.5667
   15600.0000      0.0000      0.0000   1397.0169    703.0000     48.5659
   15800.0000      0.0000      0.0000   1397.0047    703.0000     48.5652
   16000.0000      0.0000      0.0000   1396.9941    703.0000     48.5646
   16200.0000      0.0000      0.0000   1396.9850    703.0000     48.5641
   16400.0000      0.0000      0.0000   1396.9771    703.0000     48.5637
   16600.0000      0.0000      0.0000   1396.9704    703.0000     48.5634
   16800.0000      0.0000      0.0000   1396.9646    703.0000     48.5630
   17000.0000      0.0000      0.0000   1396.9596    703.0000     48.5628
   17200.0000      0.0000      0.0000   1396.9554    703.0000     48.5625
   17400.0000      0.0000      0.0000   1396.9517    703.0000     48.5623
   17600.0000      0.0000      0.0000   1396.9485    703.0000     48.5622
   17800.0000      0.0000      0.0000   1396.9458    703.0000     48.5620
   18000.0000      0.0000      0.0000   1396.9436    703.0000     48.5619
   18200.0000      0.0000      0.0000   1396.9416    703.0000     48.5618
   18400.0000      0.0000      0.0000   1396.9399    703.0000     48.5617
                                                                         
                                                                         
 ========================================================================
 Npos =  2
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
       0.0000      0.0000      0.0143    300.0000    478.5730     62.2137
     200.0000      0.0000      0.0143    473.7213    507.9622     54.7867
     400.0000      0.0000      0.0143    586.9962    581.9369     49.5593
     600.0000      0.0000      0.0143    677.2067    622.2260     45.7124
     800.0000      0.0000      0.0143    753.5257    649.4553     42.9016
    1000.0000      0.0000      0.0143    818.5528    685.6450     40.9399
    1140.0000      0.0000      0.0143    858.6279    724.3979     39.9634
