 ====================================================================================
               Transient state solution for a 2D rectangular plate
                    for applications in steel reheating
                 e.g. Reheating furnaces for rolling processing
 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 October 26th, 2017
 ====================================================================================
                              Input parameters:

 Lenght in X direction (meters):           1.0000
 Lenght in Y direction (meters):           0.2000
 Nodes in X direction:                         31
 Nodes in Y direction:                         31
 ====================================================================================

                       STAGE                1/  5
                       START Time:         0.0000
                       END Time:        1140.0000
                       Iterations:              811

 ====================================================================================
 Temperature of fluid at left face (T left):             1223.1500
 Temperature of fluid at right face (T right):           1223.1500
 Temperature of fluid at bottom face (T bottom):         1223.1500
 Temperature of fluid at top face (T top):               1223.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 ====================================================================================

                       STAGE                2/  5
                       START Time:      1140.0000
                       END Time:        3060.0000
                       Iterations:              811

 ====================================================================================
 Temperature of fluid at left face (T left):             1423.1500
 Temperature of fluid at right face (T right):           1423.1500
 Temperature of fluid at bottom face (T bottom):         1423.1500
 Temperature of fluid at top face (T top):               1423.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 ====================================================================================

                       STAGE                3/  5
                       START Time:      3060.0000
                       END Time:        4980.0000
                       Iterations:              811

 ====================================================================================
 Temperature of fluid at left face (T left):             1513.1500
 Temperature of fluid at right face (T right):           1513.1500
 Temperature of fluid at bottom face (T bottom):         1513.1500
 Temperature of fluid at top face (T top):               1513.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 SOLUTION of LINEAR SYSTEM: TDMA (tri-diagonal matrix algorithm)
      ADI approach employed in solution.
 Tolerance:       0.0010

 ====================================================================================
                    Calculation Results
 Current time:    4260.0000000000000       seconds
 Maximum Temperature :    1481.7057997521472
 Minimum Temperature :    1285.6678813702595
 Average(algebraic, non-weigthed) Temperature :    1367.1803407130726
 ====================================================================================
            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)
 ====================================================================================
            1           1      0.0000      0.0000   1476.7848    703.0000     53.2990
            1           2      0.0000      0.0067   1473.9894    703.0000     53.1206
            1           3      0.0000      0.0133   1471.3415    703.0000     52.9524
            1           4      0.0000      0.0200   1468.8528    703.0000     52.7951
            1           5      0.0000      0.0267   1466.5349    703.0000     52.6491
            1           6      0.0000      0.0333   1464.3987    703.0000     52.5152
            1           7      0.0000      0.0400   1462.4546    703.0000     52.3937
            1           8      0.0000      0.0467   1460.7120    703.0000     52.2852
            1           9      0.0000      0.0533   1459.1796    703.0000     52.1900
            1          10      0.0000      0.0600   1457.8649    703.0000     52.1086
            1          11      0.0000      0.0667   1456.7747    703.0000     52.0413
            1          12      0.0000      0.0733   1455.9145    703.0000     51.9882
            1          13      0.0000      0.0800   1455.2884    703.0000     51.9497
            1          14      0.0000      0.0867   1454.8997    703.0000     51.9258
            1          15      0.0000      0.0933   1454.7501    703.0000     51.9165
            1          16      0.0000      0.1000   1454.8402    703.0000     51.9221
            1          17      0.0000      0.1067   1455.1692    703.0000     51.9423
            1          18      0.0000      0.1133   1455.7351    703.0000     51.9772
            1          19      0.0000      0.1200   1456.5348    703.0000     52.0265
            1          20      0.0000      0.1267   1457.5636    703.0000     52.0900
            1          21      0.0000      0.1333   1458.8160    703.0000     52.1675
            1          22      0.0000      0.1400   1460.2852    703.0000     52.2587
            1          23      0.0000      0.1467   1461.9635    703.0000     52.3631
            1          24      0.0000      0.1533   1463.8420    703.0000     52.4803
            1          25      0.0000      0.1600   1465.9112    703.0000     52.6100
            1          26      0.0000      0.1667   1468.1606    703.0000     52.7514
            1          27      0.0000      0.1733   1470.5793    703.0000     52.9042
            1          28      0.0000      0.1800   1473.1554    703.0000     53.0676
            1          29      0.0000      0.1867   1475.8769    703.0000     53.2410
            1          30      0.0000      0.1933   1478.7313    703.0000     53.4238
            1          31      0.0000      0.2000   1481.7058    703.0000     53.6152
            2           1      0.0333      0.0000   1461.6882    703.0000     52.3459
            2           2      0.0333      0.0067   1457.7166    703.0000     52.0995
            2           3      0.0333      0.0133   1453.9491    703.0000     51.8673
            2           4      0.0333      0.0200   1450.4037    703.0000     51.6504
            2           5      0.0333      0.0267   1447.0980    703.0000     51.4494
            2           6      0.0333      0.0333   1444.0485    703.0000     51.2652
            2           7      0.0333      0.0400   1441.2707    703.0000     51.0983
            2           8      0.0333      0.0467   1438.7790    703.0000     50.9494
            2           9      0.0333      0.0533   1436.5865    703.0000     50.8190
            2          10      0.0333      0.0600   1434.7048    703.0000     50.7075
            2          11      0.0333      0.0667   1433.1438    703.0000     50.6153
            2          12      0.0333      0.0733   1431.9119    703.0000     50.5428
            2          13      0.0333      0.0800   1431.0156    703.0000     50.4901
            2          14      0.0333      0.0867   1430.4596    703.0000     50.4575
            2          15      0.0333      0.0933   1430.2466    703.0000     50.4451
            2          16      0.0333      0.1000   1430.3775    703.0000     50.4527
            2          17      0.0333      0.1067   1430.8513    703.0000     50.4805
            2          18      0.0333      0.1133   1431.6648    703.0000     50.5283
            2          19      0.0333      0.1200   1432.8133    703.0000     50.5958
            2          20      0.0333      0.1267   1434.2899    703.0000     50.6830
            2          21      0.0333      0.1333   1436.0861    703.0000     50.7893
            2          22      0.0333      0.1400   1438.1919    703.0000     50.9144
            2          23      0.0333      0.1467   1440.5954    703.0000     51.0579
            2          24      0.0333      0.1533   1443.2837    703.0000     51.2191
            2          25      0.0333      0.1600   1446.2423    703.0000     51.3976
            2          26      0.0333      0.1667   1449.4556    703.0000     51.5926
            2          27      0.0333      0.1733   1452.9071    703.0000     51.8034
            2          28      0.0333      0.1800   1456.5796    703.0000     52.0292
            2          29      0.0333      0.1867   1460.4550    703.0000     52.2692
            2          30      0.0333      0.1933   1464.5147    703.0000     52.5224
            2          31      0.0333      0.2000   1468.7401    703.0000     52.7880
            3           1      0.0667      0.0000   1447.3202    703.0000     51.4629
            3           2      0.0667      0.0067   1442.2211    703.0000     51.1553
            3           3      0.0667      0.0133   1437.3770    703.0000     50.8659
            3           4      0.0667      0.0200   1432.8124    703.0000     50.5958
            3           5      0.0667      0.0267   1428.5510    703.0000     50.3459
            3           6      0.0667      0.0333   1424.6154    703.0000     50.1170
            3           7      0.0667      0.0400   1421.0271    703.0000     49.9100
            3           8      0.0667      0.0467   1417.8057    703.0000     49.7255
            3           9      0.0667      0.0533   1414.9693    703.0000     49.5641
            3          10      0.0667      0.0600   1412.5339    703.0000     49.4263
            3          11      0.0667      0.0667   1410.5133    703.0000     49.3126
            3          12      0.0667      0.0733   1408.9190    703.0000     49.2232
            3          13      0.0667      0.0800   1407.7601    703.0000     49.1584
            3          14      0.0667      0.0867   1407.0431    703.0000     49.1184
            3          15      0.0667      0.0933   1406.7719    703.0000     49.1033
            3          16      0.0667      0.1000   1406.9475    703.0000     49.1131
            3          17      0.0667      0.1067   1407.5685    703.0000     49.1477
            3          18      0.0667      0.1133   1408.6308    703.0000     49.2070
            3          19      0.0667      0.1200   1410.1275    703.0000     49.2909
            3          20      0.0667      0.1267   1412.0493    703.0000     49.3990
            3          21      0.0667      0.1333   1414.3845    703.0000     49.5310
            3          22      0.0667      0.1400   1417.1190    703.0000     49.6863
            3          23      0.0667      0.1467   1420.2368    703.0000     49.8646
            3          24      0.0667      0.1533   1423.7199    703.0000     50.0652
            3          25      0.0667      0.1600   1427.5484    703.0000     50.2874
            3          26      0.0667      0.1667   1431.7011    703.0000     50.5304
            3          27      0.0667      0.1733   1436.1557    703.0000     50.7934
            3          28      0.0667      0.1800   1440.8884    703.0000     51.0754
            3          29      0.0667      0.1867   1445.8750    703.0000     51.3754
            3          30      0.0667      0.1933   1451.0906    703.0000     51.6923
            3          31      0.0667      0.2000   1456.5100    703.0000     52.0249
            4           1      0.1000      0.0000   1434.0257    703.0000     50.6674
            4           2      0.1000      0.0067   1427.8776    703.0000     50.3066
            4           3      0.1000      0.0133   1422.0292    703.0000     49.9677
            4           4      0.1000      0.0200   1416.5117    703.0000     49.6517
            4           5      0.1000      0.0267   1411.3551    703.0000     49.3599
            4           6      0.1000      0.0333   1406.5882    703.0000     49.0930
            4           7      0.1000      0.0400   1402.2382    703.0000     48.8520
            4           8      0.1000      0.0467   1398.3305    703.0000     48.6375
            4           9      0.1000      0.0533   1394.8881    703.0000     48.4502
            4          10      0.1000      0.0600   1391.9315    703.0000     48.2905
            4          11      0.1000      0.0667   1389.4786    703.0000     48.1589
            4          12      0.1000      0.0733   1387.5441    703.0000     48.0556
            4          13      0.1000      0.0800   1386.1399    703.0000     47.9810
            4          14      0.1000      0.0867   1385.2741    703.0000     47.9351
            4          15      0.1000      0.0933   1384.9519    703.0000     47.9180
            4          16      0.1000      0.1000   1385.1746    703.0000     47.9298
            4          17      0.1000      0.1067   1385.9403    703.0000     47.9704
            4          18      0.1000      0.1133   1387.2435    703.0000     48.0396
            4          19      0.1000      0.1200   1389.0754    703.0000     48.1373
            4          20      0.1000      0.1267   1391.4241    703.0000     48.2632
            4          21      0.1000      0.1333   1394.2743    703.0000     48.4170
            4          22      0.1000      0.1400   1397.6080    703.0000     48.5981
            4          23      0.1000      0.1467   1401.4045    703.0000     48.8061
            4          24      0.1000      0.1533   1405.6406    703.0000     49.0403
            4          25      0.1000      0.1600   1410.2911    703.0000     49.3001
            4          26      0.1000      0.1667   1415.3289    703.0000     49.5845
            4          27      0.1000      0.1733   1420.7255    703.0000     49.8927
            4          28      0.1000      0.1800   1426.4508    703.0000     50.2235
            4          29      0.1000      0.1867   1432.4744    703.0000     50.5759
            4          30      0.1000      0.1933   1438.7649    703.0000     50.9485
            4          31      0.1000      0.2000   1445.2908    703.0000     51.3401
            5           1      0.1333      0.0000   1422.0597    703.0000     49.9694
            5           2      0.1333      0.0067   1414.9631    703.0000     49.5638
            5           3      0.1333      0.0133   1408.2054    703.0000     49.1833
            5           4      0.1333      0.0200   1401.8236    703.0000     48.8292
            5           5      0.1333      0.0267   1395.8540    703.0000     48.5026
            5           6      0.1333      0.0333   1390.3313    703.0000     48.2046
            5           7      0.1333      0.0400   1385.2884    703.0000     47.9358
            5           8      0.1333      0.0467   1380.7559    703.0000     47.6971
            5           9      0.1333      0.0533   1376.7619    703.0000     47.4889
            5          10      0.1333      0.0600   1373.3311    703.0000     47.3118
            5          11      0.1333      0.0667   1370.4854    703.0000     47.1661
            5          12      0.1333      0.0733   1368.2427    703.0000     47.0520
            5          13      0.1333      0.0800   1366.6172    703.0000     46.9697
            5          14      0.1333      0.0867   1365.6190    703.0000     46.9193
            5          15      0.1333      0.0933   1365.2540    703.0000     46.9009
            5          16      0.1333      0.1000   1365.5242    703.0000     46.9145
            5          17      0.1333      0.1067   1366.4269    703.0000     46.9600
            5          18      0.1333      0.1133   1367.9555    703.0000     47.0374
            5          19      0.1333      0.1200   1370.0991    703.0000     47.1464
            5          20      0.1333      0.1267   1372.8431    703.0000     47.2867
            5          21      0.1333      0.1333   1376.1688    703.0000     47.4582
            5          22      0.1333      0.1400   1380.0543    703.0000     47.6604
            5          23      0.1333      0.1467   1384.4744    703.0000     47.8928
            5          24      0.1333      0.1533   1389.4009    703.0000     48.1547
            5          25      0.1333      0.1600   1394.8032    703.0000     48.4456
            5          26      0.1333      0.1667   1400.6486    703.0000     48.7645
