 ========================================================================
 Mesh information:
 Nx =                    3     -    Ny =                     3
  
 Slab dimensions:
 X(m) =    1.0000000000000000          -    Y(m) =   0.20000000000000001     
                                                                         
                                                                         
 ========================================================================
 Npos =  1
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
       0.0000      0.0000      0.0000    300.0000    478.5730     62.2137
     200.0000      0.0000      0.0000    404.9904    467.7830     57.9225
     400.0000      0.0000      0.0000    491.3063    520.0825     53.9685
     600.0000      0.0000      0.0000    565.9985    569.7667     50.5098
     800.0000      0.0000      0.0000    633.6144    605.0281     47.5146
    1000.0000      0.0000      0.0000    696.0181    628.8088     44.9751
    1140.0000      0.0000      0.0000    737.2318    643.1638     43.4594
    1340.0000      0.0000      0.0000    844.5515    708.7901     40.2849
    1540.0000      0.0000      0.0000    927.2476    844.0105     38.7510
    1740.0000      0.0000      0.0000    989.6343   1043.6008     38.1937
    1940.0000      0.0000      0.0000   1044.3627   1087.9970     38.1595
    2140.0000      0.0000      0.0000   1100.3481    904.1684     38.5808
    2340.0000      0.0000      0.0000   1151.9379    781.2386     39.3853
    2540.0000      0.0000      0.0000   1196.8243    714.5143     40.4117
    2740.0000      0.0000      0.0000   1234.1844    703.0000     41.4963
    2940.0000      0.0000      0.0000   1265.5496    703.0000     42.5662
    3060.0000      0.0000      0.0000   1282.4510    703.0000     43.2022
    3260.0000      0.0000      0.0000   1336.0108    703.0000     45.4863
    3460.0000      0.0000      0.0000   1375.1016    703.0000     47.4030
    3660.0000      0.0000      0.0000   1404.3491    703.0000     48.9687
    3860.0000      0.0000      0.0000   1426.7433    703.0000     50.2405
    4060.0000      0.0000      0.0000   1444.1985    703.0000     51.2742
    4260.0000      0.0000      0.0000   1457.9689    703.0000     52.1151
    4460.0000      0.0000      0.0000   1468.9121    703.0000     52.7988
    4660.0000      0.0000      0.0000   1477.6436    703.0000     53.3540
    4860.0000      0.0000      0.0000   1484.6246    703.0000     53.8039
    4980.0000      0.0000      0.0000   1488.2668    703.0000     54.0408
    5180.0000      0.0000      0.0000   1490.0721    703.0000     54.1587
    5380.0000      0.0000      0.0000   1492.2764    703.0000     54.3032
    5580.0000      0.0000      0.0000   1494.4412    703.0000     54.4455
    5780.0000      0.0000      0.0000   1496.3869    703.0000     54.5739
    5980.0000      0.0000      0.0000   1498.0599    703.0000     54.6846
    6180.0000      0.0000      0.0000   1499.4639    703.0000     54.7778
    6380.0000      0.0000      0.0000   1500.6262    703.0000     54.8550
    6580.0000      0.0000      0.0000   1501.5810    703.0000     54.9186
    6780.0000      0.0000      0.0000   1502.3621    703.0000     54.9707
    6980.0000      0.0000      0.0000   1503.0000    703.0000     55.0132
    7180.0000      0.0000      0.0000   1503.5205    703.0000     55.0480
    7380.0000      0.0000      0.0000   1503.9453    703.0000     55.0764
    7580.0000      0.0000      0.0000   1504.2922    703.0000     55.0996
    7780.0000      0.0000      0.0000   1504.5759    703.0000     55.1186
    7980.0000      0.0000      0.0000   1504.8080    703.0000     55.1341
    8180.0000      0.0000      0.0000   1504.9982    703.0000     55.1469
    8380.0000      0.0000      0.0000   1505.1543    703.0000     55.1573
    8400.0000      0.0000      0.0000   1505.1695    703.0000     55.1584
    8600.0000      0.0000      0.0000   1473.8730    703.0000     53.1132
    8800.0000      0.0000      0.0000   1454.3888    703.0000     51.8943
    9000.0000      0.0000      0.0000   1441.3398    703.0000     51.1024
    9200.0000      0.0000      0.0000   1432.0825    703.0000     50.5528
    9400.0000      0.0000      0.0000   1425.2297    703.0000     50.1526
    9600.0000      0.0000      0.0000   1420.0025    703.0000     49.8512
    9800.0000      0.0000      0.0000   1415.9328    703.0000     49.6188
   10000.0000      0.0000      0.0000   1412.7202    703.0000     49.4368
   10200.0000      0.0000      0.0000   1410.1601    703.0000     49.2927
   10400.0000      0.0000      0.0000   1408.1067    703.0000     49.1777
   10600.0000      0.0000      0.0000   1406.4520    703.0000     49.0855
   10800.0000      0.0000      0.0000   1405.1141    703.0000     49.0111
   11000.0000      0.0000      0.0000   1404.0293    703.0000     48.9510
   11200.0000      0.0000      0.0000   1403.1479    703.0000     48.9022
   11400.0000      0.0000      0.0000   1402.4304    703.0000     48.8626
   11600.0000      0.0000      0.0000   1401.8454    703.0000     48.8304
   11800.0000      0.0000      0.0000   1401.3677    703.0000     48.8041
   12000.0000      0.0000      0.0000   1400.9771    703.0000     48.7826
   12200.0000      0.0000      0.0000   1400.6573    703.0000     48.7650
   12400.0000      0.0000      0.0000   1400.3951    703.0000     48.7506
   12600.0000      0.0000      0.0000   1400.1798    703.0000     48.7388
   12800.0000      0.0000      0.0000   1400.0028    703.0000     48.7291
   13000.0000      0.0000      0.0000   1399.8572    703.0000     48.7211
   13200.0000      0.0000      0.0000   1399.7372    703.0000     48.7145
   13400.0000      0.0000      0.0000   1399.6381    703.0000     48.7091
   13600.0000      0.0000      0.0000   1399.5563    703.0000     48.7046
   13800.0000      0.0000      0.0000   1399.4886    703.0000     48.7009
   14000.0000      0.0000      0.0000   1399.4326    703.0000     48.6978
   14200.0000      0.0000      0.0000   1399.3861    703.0000     48.6953
   14400.0000      0.0000      0.0000   1399.3475    703.0000     48.6932
   14600.0000      0.0000      0.0000   1399.3154    703.0000     48.6914
   14800.0000      0.0000      0.0000   1399.2887    703.0000     48.6900
   15000.0000      0.0000      0.0000   1399.2664    703.0000     48.6887
   15200.0000      0.0000      0.0000   1399.2479    703.0000     48.6877
   15400.0000      0.0000      0.0000   1399.2324    703.0000     48.6869
   15600.0000      0.0000      0.0000   1399.2194    703.0000     48.6862
   15800.0000      0.0000      0.0000   1399.2085    703.0000     48.6856
   16000.0000      0.0000      0.0000   1399.1994    703.0000     48.6851
   16200.0000      0.0000      0.0000   1399.1918    703.0000     48.6847
   16400.0000      0.0000      0.0000   1399.1854    703.0000     48.6843
   16600.0000      0.0000      0.0000   1399.1800    703.0000     48.6840
   16800.0000      0.0000      0.0000   1399.1755    703.0000     48.6838
   17000.0000      0.0000      0.0000   1399.1717    703.0000     48.6836
   17200.0000      0.0000      0.0000   1399.1684    703.0000     48.6834
   17400.0000      0.0000      0.0000   1399.1657    703.0000     48.6832
   17600.0000      0.0000      0.0000   1399.1634    703.0000     48.6831
   17800.0000      0.0000      0.0000   1399.1615    703.0000     48.6830
   18000.0000      0.0000      0.0000   1399.1598    703.0000     48.6829
   18200.0000      0.0000      0.0000   1399.1584    703.0000     48.6828
   18400.0000      0.0000      0.0000   1399.1573    703.0000     48.6828
                                                                         
                                                                         
 ========================================================================
 Npos =  2
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
       0.0000      0.0000      0.1000    300.0000    478.5730     62.2137
     200.0000      0.0000      0.1000    369.9653    457.4368     59.4445
     400.0000      0.0000      0.1000    444.8879    489.0968     56.1188
     600.0000      0.0000      0.1000    514.6786    536.2864     52.8795
     800.0000      0.0000      0.1000    578.6390    577.2203     49.9358
    1000.0000      0.0000      0.1000    637.7233    606.8094     47.3397
    1140.0000      0.0000      0.1000    676.9412    622.1307     45.7230
    1340.0000      0.0000      0.1000    750.2479    648.1375     43.0118
