 ====================================================================================
               Transient state solution for a 2D rectangular plate
                    for applications in steel reheating
                 e.g. Reheating furnaces for rolling processing
 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 October 26th, 2017
 ====================================================================================
                              Input parameters:

 Lenght in X direction (meters):           1.0000
 Lenght in Y direction (meters):           0.2000
 Nodes in X direction:                         61
 Nodes in Y direction:                         61
 ====================================================================================

                       STAGE                1/  5
                       START Time:         0.0000
                       END Time:        1140.0000
                       Iterations:             2124

 ====================================================================================
 Temperature of fluid at left face (T left):             1223.1500
 Temperature of fluid at right face (T right):           1223.1500
 Temperature of fluid at bottom face (T bottom):         1223.1500
 Temperature of fluid at top face (T top):               1223.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 ====================================================================================

                       STAGE                2/  5
                       START Time:      1140.0000
                       END Time:        3060.0000
                       Iterations:             2124

 ====================================================================================
 Temperature of fluid at left face (T left):             1423.1500
 Temperature of fluid at right face (T right):           1423.1500
 Temperature of fluid at bottom face (T bottom):         1423.1500
 Temperature of fluid at top face (T top):               1423.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 ====================================================================================

                       STAGE                3/  5
                       START Time:      3060.0000
                       END Time:        4980.0000
                       Iterations:             2124

 ====================================================================================
 Temperature of fluid at left face (T left):             1513.1500
 Temperature of fluid at right face (T right):           1513.1500
 Temperature of fluid at bottom face (T bottom):         1513.1500
 Temperature of fluid at top face (T top):               1513.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 SOLUTION of LINEAR SYSTEM: TDMA (tri-diagonal matrix algorithm)
      ADI approach employed in solution.
 Tolerance:       0.0010

 ====================================================================================
                    Calculation Results
 Current time:    4980.0000000000000       seconds
 Maximum Temperature :    1496.4939234372309
 Minimum Temperature :    1383.0003659170163
 Average(algebraic, non-weigthed) Temperature :    1430.7325576929411
 ====================================================================================
            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)
 ====================================================================================
            1           1      0.0000      0.0000   1494.0316    703.0000     54.4186
            1           2      0.0000      0.0033   1493.2910    703.0000     54.3698
            1           3      0.0000      0.0067   1492.5694    703.0000     54.3224
            1           4      0.0000      0.0100   1491.8676    703.0000     54.2763
            1           5      0.0000      0.0133   1491.1863    703.0000     54.2317
            1           6      0.0000      0.0167   1490.5263    703.0000     54.1884
            1           7      0.0000      0.0200   1489.8882    703.0000     54.1467
            1           8      0.0000      0.0233   1489.2727    703.0000     54.1064
            1           9      0.0000      0.0267   1488.6805    703.0000     54.0678
            1          10      0.0000      0.0300   1488.1123    703.0000     54.0307
            1          11      0.0000      0.0333   1487.5686    703.0000     53.9953
            1          12      0.0000      0.0367   1487.0501    703.0000     53.9615
            1          13      0.0000      0.0400   1486.5574    703.0000     53.9294
            1          14      0.0000      0.0433   1486.0910    703.0000     53.8991
            1          15      0.0000      0.0467   1485.6514    703.0000     53.8706
            1          16      0.0000      0.0500   1485.2391    703.0000     53.8438
            1          17      0.0000      0.0533   1484.8546    703.0000     53.8189
            1          18      0.0000      0.0567   1484.4983    703.0000     53.7958
            1          19      0.0000      0.0600   1484.1707    703.0000     53.7745
            1          20      0.0000      0.0633   1483.8721    703.0000     53.7552
            1          21      0.0000      0.0667   1483.6028    703.0000     53.7377
            1          22      0.0000      0.0700   1483.3631    703.0000     53.7222
            1          23      0.0000      0.0733   1483.1534    703.0000     53.7087
            1          24      0.0000      0.0767   1482.9738    703.0000     53.6971
            1          25      0.0000      0.0800   1482.8245    703.0000     53.6874
            1          26      0.0000      0.0833   1482.7058    703.0000     53.6797
            1          27      0.0000      0.0867   1482.6178    703.0000     53.6741
            1          28      0.0000      0.0900   1482.5604    703.0000     53.6703
            1          29      0.0000      0.0933   1482.5339    703.0000     53.6686
            1          30      0.0000      0.0967   1482.5382    703.0000     53.6689
            1          31      0.0000      0.1000   1482.5733    703.0000     53.6712
            1          32      0.0000      0.1033   1482.6392    703.0000     53.6754
            1          33      0.0000      0.1067   1482.7358    703.0000     53.6817
            1          34      0.0000      0.1100   1482.8629    703.0000     53.6899
            1          35      0.0000      0.1133   1483.0203    703.0000     53.7001
            1          36      0.0000      0.1167   1483.2080    703.0000     53.7122
            1          37      0.0000      0.1200   1483.4257    703.0000     53.7263
            1          38      0.0000      0.1233   1483.6730    703.0000     53.7423
            1          39      0.0000      0.1267   1483.9497    703.0000     53.7602
            1          40      0.0000      0.1300   1484.2555    703.0000     53.7800
            1          41      0.0000      0.1333   1484.5900    703.0000     53.8017
            1          42      0.0000      0.1367   1484.9528    703.0000     53.8252
            1          43      0.0000      0.1400   1485.3435    703.0000     53.8506
