 ====================================================================================
               Transient state solution for a 2D rectangular plate
                    for applications in steel reheating
                 e.g. Reheating furnaces for rolling processing
 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 October 26th, 2017
 ====================================================================================
                              Input parameters:

 Lenght in X direction (meters):           1.0000
 Lenght in Y direction (meters):           0.2000
 Nodes in X direction:                          7
 Nodes in Y direction:                          7
 ====================================================================================

                       STAGE                1/  5
                       START Time:         0.0000
                       END Time:        1140.0000
                       Iterations:              183

 ====================================================================================
 Temperature of fluid at left face (T left):             1223.1500
 Temperature of fluid at right face (T right):           1223.1500
 Temperature of fluid at bottom face (T bottom):         1223.1500
 Temperature of fluid at top face (T top):               1223.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 ====================================================================================

                       STAGE                2/  5
                       START Time:      1140.0000
                       END Time:        3060.0000
                       Iterations:              183

 ====================================================================================
 Temperature of fluid at left face (T left):             1423.1500
 Temperature of fluid at right face (T right):           1423.1500
 Temperature of fluid at bottom face (T bottom):         1423.1500
 Temperature of fluid at top face (T top):               1423.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 SOLUTION of LINEAR SYSTEM: TDMA (tri-diagonal matrix algorithm)
      ADI approach employed in solution.
 Tolerance:       0.0010

 ====================================================================================
                    Calculation Results
 Current time:    2140.0000000000000       seconds
 Maximum Temperature :    1267.0623874723244
 Minimum Temperature :    877.59214178640786
 Average(algebraic, non-weigthed) Temperature :    1032.3133706474528
 ====================================================================================
            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)
 ====================================================================================
            1           1      0.0000      0.0000   1225.1900    703.0000     41.2162
            1           2      0.0000      0.0333   1162.1961    762.5545     39.5931
            1           3      0.0000      0.0667   1123.5358    843.0919     38.8928
            1           4      0.0000      0.1000   1116.9306    859.5445     38.7956
            1           5      0.0000      0.1333   1143.2863    798.5244     39.2224
            1           6      0.0000      0.1667   1197.0118    714.3191     40.4167
            1           7      0.0000      0.2000   1267.0624    703.0000     42.6214
            2           1      0.1667      0.0000   1055.2161   1048.5372     38.2047
            2           2      0.1667      0.0333    966.3611    956.4650     38.3384
            2           3      0.1667      0.0667    922.3122    832.4485     38.8178
            2           4      0.1667      0.1000    916.2235    818.9087     38.9047
            2           5      0.1667      0.1333    946.6515    894.9289     38.5201
            2           6      0.1667      0.1667   1016.6181   1167.0582     38.1225
            2           7      0.1667      0.2000   1134.9882    816.3940     39.0767
            3           1      0.3333      0.0000   1022.9004   1199.6247     38.1211
            3           2      0.3333      0.0333    933.3281    859.0066     38.6732
            3           3      0.3333      0.0667    888.3348    766.2121     39.3647
            3           4      0.3333      0.1000    882.6407    757.1555     39.4709
            3           5      0.3333      0.1333    915.1269    816.5527     38.9208
            3           6      0.3333      0.1667    988.7549   1039.9995     38.1978
            3           7      0.3333      0.2000   1111.4844    873.6812     38.7205
            4           1      0.5000      0.0000   1018.5690   1177.0086     38.1215
            4           2      0.5000      0.0333    928.4571    846.9263     38.7351
            4           3      0.5000      0.0667    883.2158    758.0463     39.4600
            4           4      0.5000      0.1000    877.5921    749.5610     39.5685
            4           5      0.5000      0.1333    910.4544    806.7889     38.9915
            4           6      0.5000      0.1667    984.6987   1023.7125     38.2180
            4           7      0.5000      0.2000   1108.0655    882.8164     38.6756
            5           1      0.6667      0.0000   1022.9004   1199.6245     38.1211
            5           2      0.6667      0.0333    933.3280    859.0065     38.6732
            5           3      0.6667      0.0667    888.3348    766.2121     39.3647
            5           4      0.6667      0.1000    882.6406    757.1554     39.4709
            5           5      0.6667      0.1333    915.1269    816.5526     38.9208
            5           6      0.6667      0.1667    988.7549   1039.9992     38.1978
            5           7      0.6667      0.2000   1111.4843    873.6813     38.7205
            6           1      0.8333      0.0000   1055.2159   1048.5377     38.2047
            6           2      0.8333      0.0333    966.3610    956.4645     38.3384
            6           3      0.8333      0.0667    922.3121    832.4482     38.8178
            6           4      0.8333      0.1000    916.2234    818.9084     38.9047
            6           5      0.8333      0.1333    946.6513    894.9284     38.5201
            6           6      0.8333      0.1667   1016.6180   1167.0574     38.1225
            6           7      0.8333      0.2000   1134.9880    816.3944     39.0767
            7           1      1.0000      0.0000   1225.1897    703.0000     41.2162
            7           2      1.0000      0.0333   1162.1955    762.5555     39.5931
            7           3      1.0000      0.0667   1123.5352    843.0935     38.8927
            7           4      1.0000      0.1000   1116.9299    859.5463     38.7956
            7           5      1.0000      0.1333   1143.2856    798.5259     39.2224
            7           6      1.0000      0.1667   1197.0112    714.3197     40.4166
            7           7      1.0000      0.2000   1267.0620    703.0000     42.6214
