 ====================================================================================
               Transient state solution for a 2D rectangular plate
                    for applications in steel reheating
                 e.g. Reheating furnaces for rolling processing
 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 October 26th, 2017
 ====================================================================================
                              Input parameters:

 Lenght in X direction (meters):           1.0000
 Lenght in Y direction (meters):           0.2000
 Nodes in X direction:                          7
 Nodes in Y direction:                          7
 ====================================================================================

                       STAGE                1/  5
                       START Time:         0.0000
                       END Time:        1140.0000
                       Iterations:              269

 ====================================================================================
 Temperature of fluid at left face (T left):             1223.1500
 Temperature of fluid at right face (T right):           1223.1500
 Temperature of fluid at bottom face (T bottom):         1223.1500
 Temperature of fluid at top face (T top):               1223.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 ====================================================================================

                       STAGE                2/  5
                       START Time:      1140.0000
                       END Time:        3060.0000
                       Iterations:              269

 ====================================================================================
 Temperature of fluid at left face (T left):             1423.1500
 Temperature of fluid at right face (T right):           1423.1500
 Temperature of fluid at bottom face (T bottom):         1423.1500
 Temperature of fluid at top face (T top):               1423.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 ====================================================================================

                       STAGE                3/  5
                       START Time:      3060.0000
                       END Time:        4980.0000
                       Iterations:              269

 ====================================================================================
 Temperature of fluid at left face (T left):             1513.1500
 Temperature of fluid at right face (T right):           1513.1500
 Temperature of fluid at bottom face (T bottom):         1513.1500
 Temperature of fluid at top face (T top):               1513.1500
 ------------------------------------------------------------------------------------
 Heat transfer coefficient at left face (H left):          50.0000
 Heat transfer coefficient at right face (H right):        50.0000
 Heat transfer coefficient at bottom face (H bottom):       8.0000
 Heat transfer coefficient at top face (H top):           150.0000
 ====================================================================================


 SOLUTION of LINEAR SYSTEM: TDMA (tri-diagonal matrix algorithm)
      ADI approach employed in solution.
 Tolerance:       0.0010

 ====================================================================================
                    Calculation Results
 Current time:    3260.0000000000000       seconds
 Maximum Temperature :    1412.0008983497273
 Minimum Temperature :    1070.0806369409045
 Average(algebraic, non-weigthed) Temperature :    1232.3074479680347
 ====================================================================================
            I           J        X(m)        Y(m)        T(K)  Cp(J/kg.K) K(W/sq-m.K)
 ====================================================================================
            1           1      0.0000      0.0000   1397.6021    703.0000     48.5978
            1           2      0.0000      0.0333   1363.0747    703.0000     46.7915
            1           3      0.0000      0.0667   1344.7712    703.0000     45.8980
            1           4      0.0000      0.1000   1340.7660    703.0000     45.7085
            1           5      0.0000      0.1333   1350.3915    703.0000     46.1675
            1           6      0.0000      0.1667   1373.5520    703.0000     47.3232
            1           7      0.0000      0.2000   1412.0009    703.0000     49.3963
            2           1      0.1667      0.0000   1271.4413    703.0000     42.7832
            2           2      0.1667      0.0333   1193.1031    718.5350     40.3151
            2           3      0.1667      0.0667   1147.5413    789.8498     39.3011
            2           4      0.1667      0.1000   1138.5023    808.6736     39.1371
            2           5      0.1667      0.1333   1166.1414    755.8998     39.6773
            2           6      0.1667      0.1667   1225.6777    703.0000     41.2311
            2           7      0.1667      0.2000   1312.1515    703.0000     44.4190
            3           1      0.3333      0.0000   1232.5488    703.0000     41.4444
            3           2      0.3333      0.0333   1141.3890    802.4996     39.1882
            3           3      0.3333      0.0667   1088.8107    937.9493     38.4557
            3           4      0.3333      0.1000   1079.2088    967.7280     38.3668
            3           5      0.3333      0.1333   1112.1719    871.8683     38.7297
            3           6      0.3333      0.1667   1182.8550    731.0478     40.0598
            3           7      0.3333      0.2000   1283.5564    703.0000     43.2452
            4           1      0.5000      0.0000   1226.3612    703.0000     41.2520
            4           2      0.5000      0.0333   1133.3545    820.0591     39.0493
            4           3      0.5000      0.0667   1079.9319    965.4335     38.3730
            4           4      0.5000      0.1000   1070.0806    997.4099     38.2950
            4           5      0.5000      0.1333   1103.7994    894.4950     38.6221
            4           6      0.5000      0.1667   1176.0422    740.5197     39.8988
            4           7      0.5000      0.2000   1278.9847    703.0000     43.0684
            5           1      0.6667      0.0000   1232.5486    703.0000     41.4444
            5           2      0.6667      0.0333   1141.3888    802.5000     39.1882
            5           3      0.6667      0.0667   1088.8105    937.9499     38.4557
            5           4      0.6667      0.1000   1079.2087    967.7286     38.3668
            5           5      0.6667      0.1333   1112.1717    871.8688     38.7297
            5           6      0.6667      0.1667   1182.8548    731.0480     40.0598
            5           7      0.6667      0.2000   1283.5563    703.0000     43.2452
            6           1      0.8333      0.0000   1271.4410    703.0000     42.7832
            6           2      0.8333      0.0333   1193.1027    718.5355     40.3151
            6           3      0.8333      0.0667   1147.5408    789.8508     39.3011
            6           4      0.8333      0.1000   1138.5018    808.6747     39.1371
            6           5      0.8333      0.1333   1166.1409    755.9006     39.6773
            6           6      0.8333      0.1667   1225.6774    703.0000     41.2310
            6           7      0.8333      0.2000   1312.1513    703.0000     44.4190
            7           1      1.0000      0.0000   1397.6020    703.0000     48.5978
            7           2      1.0000      0.0333   1363.0746    703.0000     46.7915
            7           3      1.0000      0.0667   1344.7710    703.0000     45.8980
            7           4      1.0000      0.1000   1340.7658    703.0000     45.7085
            7           5      1.0000      0.1333   1350.3913    703.0000     46.1675
            7           6      1.0000      0.1667   1373.5519    703.0000     47.3232
            7           7      1.0000      0.2000   1412.0008    703.0000     49.3963
